Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Portugal,1.0,1.0,0.29664316531621593,0.0047702923765549545,0.0,0.013605881155780142,0.5298666399999999,0.1359087569900294,0.004163569099135352,0.5656547368425024,0.2044650104206219,0.013044518908568694,0.009233273998915735
Qatar,1.0,1.0,0.00042091970956540043,0.009214980914907555,0.0,1.4891515310959658e-05,0.0006381621,1.0,0.008583975913220873,0.4378412578315604,0.5491454171776641,0.029439923408329346,0.0011582780726693547
Romania,1.0,0.8767535070140281,0.2477112490792381,0.0045643381415474416,0.013936076895516488,0.01222593407029788,0.60679283,0.09437952933947558,0.006900989507450894,0.6621307544162628,0.11214334438056167,0.009813307802776448,0.02387364843771674
Samoa,0.9912663755458515,0.3517034068136272,0.3599915816058087,1.7653220143501063e-05,0.0,2.9783030621919316e-05,0.4,0.03595097056942597,2.2414909209537864e-05,0.6744067044871536,0.036238930514337915,0.008137865007180469,0.00028143202630357864
Serbia,0.9978165938864628,0.785571142284569,0.22656003367357677,0.005168470564236145,0.0,0.005216994197272867,0.28513292,0.12692979008178593,0.004285917266439646,0.6713249429202605,0.06362473020475413,0.011728099569171853,0.007757208090139173
Seychelles,1.0,1.0,0.015468799326528464,9.611197633683912e-05,0.0,1.9855353747946214e-05,0.0754717,0.2192056169854206,5.1367498898788836e-05,0.4700596105556306,0.14147443556506437,0.02537099090473911,4.346672577073065e-05
Singapore,1.0,1.0,0.008839313900873409,0.00999564553903127,0.0,0.00038717939808495115,0.015075376,0.7624403264126697,0.004419472788731254,0.479941863069468,0.5789203032841145,1.0,6.960685348077834e-05
Slovenia,1.0,1.0,0.2195096285383563,0.000986618859131226,0.007190422653537763,0.0025017745722412227,0.6834487,0.18132571990094112,0.0012645744270911616,0.6020388681809837,0.22758321493060976,0.012087123025370992,0.002028313664306076
Spain,1.0,1.0,0.18173208460486162,0.021880185633417152,0.07208954670686056,0.0501298043751272,0.5882092,0.16139702880714252,0.02240743593551583,0.5273611380220348,0.25955369863716793,0.011010052656773576,0.05061259539519116
Sri Lanka,0.9973643013100437,0.3046092184368738,0.5252025676102283,0.0019967753451204536,0.0,0.0028343517475193218,0.35934547,0.02284008201131686,0.002215340135897742,0.5382541846454861,0.032073953324180234,0.040569650550502635,0.006568984047411181
Suriname,0.9762600436681222,0.9388777555110221,0.15153109544354415,0.0001941854215785117,0.0,0.00047652848995070906,0.49230766000000004,0.10299517440433041,0.00024189422420614956,0.4641295598318985,0.05863749464563803,0.00023934897079942556,0.016405083443594263
Sweden,1.0,1.0,0.5564558560454593,0.0006570920831192063,0.08170148626777529,0.04911221749554495,0.98010925,0.3034542862711769,0.0032632370191917953,0.5210172698933921,0.4576598588656146,0.002752513164193394,0.04509662783338703
Switzerland,1.0,1.0,0.2605493002209829,0.0007022058679303757,0.031232626233923477,0.018683887876817386,0.9461654,0.18734385152132887,0.003485518289856999,0.4713403906264069,0.7532164747357539,0.025969363331737674,0.004131942945615815
Tajikistan,0.9959957423580786,0.81563126252505,0.40576660002104603,0.0002785285844863501,0.0,0.009515678283703224,0.9310345,0.037604705283558436,0.0008741814181695064,0.8679465833216502,0.005861827453593359,0.007898516036381044,0.014430051572168435
Thailand,0.9989082969432315,0.8266533066132264,0.25213090602967486,0.03189152292368709,0.0,0.013908675300436322,0.14700173,0.09896743491768417,0.024939386638001205,0.5389755689184298,0.06716313407962243,0.016156055528961225,0.05138878692681135
Tonga,0.9825327510917031,0.8206412825651302,0.018625697148268967,1.176881342900071e-05,0.0,4.9638384369865536e-06,0.14285714,0.031933791555561516,9.339544777668828e-06,0.44077552859570807,0.04137337706059519,0.017352800382958354,7.27116196072591e-05
Trinidad and Tobago,1.0,1.0,0.004524886877828054,0.0016927476648712688,0.0,4.9638384369865536e-06,0.0011574074,0.5942689842074697,0.0015998641061963363,0.313863150589124,0.1452241506392026,0.03243178554332216,0.0005114851809012015
Tunisia,1.0,0.9979959919839679,0.1283805114174471,0.0038699781492364,0.0,0.00040703475183289734,0.039902678,0.04764614074177589,0.0027878541652554822,0.4835791258288583,0.029617007123300083,0.008855911919578746,0.016384051156931003
Turkmenistan,0.9989082969432315,0.998997995991984,0.0006313795643481005,0.004154391140437251,0.0,0.0,0.0,0.2778403513729129,0.0068001229632660845,0.7974560122151885,0.06534904801464675,0.0013164193393968406,0.04888294020150333
Ukraine,1.0,0.9488977955911824,0.07829106597916448,0.011335328801032517,0.10254382822055572,0.005892076224703038,0.62144634,0.10314831665955337,0.01631338283036132,0.5987689073008874,0.03038523259554926,0.008736237434179034,0.060445690178993774
United Arab Emirates,1.0,1.0,0.007050405135220457,0.024685086167328986,0.0,0.0018862586060548901,0.02930968,0.6480023194340204,0.017633060994908346,0.6123565988981261,0.37590089051301245,0.013882240306366683,0.008370749938230178
United Kingdom,1.0,1.0,0.12880143112701253,0.028439337651180216,0.06940858155940748,0.059804325488813995,0.54923054,0.15720487627268542,0.032581937899351425,0.5008792812817147,0.3791671413123681,0.033389181426519865,0.02439635083817168
United States,1.0,1.0,0.1096495843417868,0.5076693434178988,1.0,0.377628972932189,0.37759180000000003,0.3814429061429497,0.449947543184801,0.5322304420532404,0.5757237609117519,0.0040689325035902345,0.9848614608285179
Uruguay,0.9989082969432315,1.0,0.6393770388298432,0.00037071762301352234,0.0,0.007028795226772959,0.8822430400000001,0.09508197114071718,0.0006005327215137376,0.41619463400634793,0.15452450839219656,0.00215414073719483,0.017646489125456487
Uzbekistan,1.0,0.845691382765531,0.016521098600441965,0.010521319205526635,0.0,0.0032116034687302997,0.10763600000000001,0.0769255568380207,0.010894579145437424,0.7596238526430843,0.013769265830154497,0.009214935375777885,0.04480668273867214
